#OTU ID	Taxonomy	BRK01	BRK02	BRK03	BRK04	BRK05	BRK06	BRK07	BRK08	BRK09	BRK10	BRK100	BRK101	BRK102	BRK103	BRK104	BRK105	BRK106	BRK107	BRK108	BRK109	BRK11	BRK110	BRK111	BRK112	BRK113	BRK114	BRK115	BRK116	BRK117	BRK118	BRK119	BRK12	BRK120	BRK121	BRK122	BRK123	BRK124	BRK126	BRK127	BRK128	BRK129	BRK13	BRK130	BRK131	BRK132	BRK133	BRK134	BRK135	BRK136	BRK137	BRK138	BRK139	BRK14	BRK140	BRK141	BRK142	BRK144	BRK15	BRK151	BRK152	BRK16	BRK17	BRK18	BRK19	BRK20	BRK21	BRK22	BRK23	BRK24	BRK25	BRK26	BRK27	BRK28	BRK29	BRK30	BRK31	BRK32	BRK33	BRK34	BRK36	BRK37	BRK40	BRK41	BRK42	BRK44	BRK45	BRK46	BRK48	BRK49	BRK50	BRK51	BRK52	BRK53	BRK54	BRK55	BRK56	BRK57	BRK58	BRK59	BRK60	BRK62	BRK63	BRK64	BRK65	BRK66	BRK67	BRK68	BRK69	BRK70	BRK71	BRK72	BRK73	BRK74	BRK77	BRK78	BRK80	BRK81	BRK82	BRK83	BRK84	BRK85	BRK86	BRK87	BRK88	BRK89	BRK90	BRK91	BRK92	BRK93	BRK94	BRK96	BRK97	BRK98	BRK99
OTU_1	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_salivarius	1	0	3	0	0	0	0	1	0	0	0	2	0	0	9	0	0	2	1	0	0	1	0	0	0	0	0	0	1	0	0	0	5	2	0	0	1	2	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	8	0	3
OTU_2	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella	1	3	0	1	1	2	1	0	0	1	3	8	11	12	2	1	11	1	9	5	0	6	9	4	1	0	4	3	3	11	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	2	0	0	1	1	0	5	1	0	0	0	1	1	8	1	6	6	0	0	15	19	3	8	27	0	4	0	5	2	0	7	7	5	20	0	24	9	0	6	0	0	3	1	2	2	19	8	0	4	3	4	0	1	8	1	6	0	1	0	1	0	3	1	0	0	3	1	10	0	4	0	0
OTU_3	k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_eligens_group	2	0	1	6	0	1	0	18	3	0	0	0	14	1	1	3	5	5	0	14	3	2	8	0	1	0	3	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	5	0	0	0	0	0	1	0	0	6	6	19	0	3	1	13	0	0	1	0	2	7	12	31	8	0	3	8	0	0	24	1	5	2	10	0	0	0	0	4	0	5	0	1	0	0	0	6	0	1	0	2	0	0	3	1	0	0	0	0	0	3	0	5	2	0	5	0	0	0	0	10	0	3	0	0	0	1	0	0	1	0	0
OTU_4	k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum;s__uncultured_bacterium	3	2	2	6	4	4	2	19	1	3	2	1	1	0	0	0	1	3	1	4	7	1	0	0	0	0	2	1	0	1	0	0	0	3	0	0	3	0	0	0	0	3	1	0	1	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	2	1	13	7	3	3	6	0	1	1	2	0	6	2	1	2	0	1	3	0	0	7	5	1	0	1	0	1	0	1	2	0	2	0	0	0	0	0	0	1	0	0	1	2	0	0	2	0	1	0	2	0	0	0	3	0	0	1	0	0	0	0	2	3	0	3	0	1	1	0	0	1	0	0
OTU_5	k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_ND3007_group;s__uncultured_bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	4	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_6	k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	3	0	0	0	0	0	0	2	0	3	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0
OTU_7	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1;s__uncultured_bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	3	1	0	2	2	3	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	2	1	0	2	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_8	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_salivarius	0	3	3	0	3	0	0	1	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	1	0	1	0	1	0	6	0	3	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	5	0	2
OTU_9	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella;s__Citrobacter_koseri	0	0	0	0	0	0	0	0	0	0	1	1	41	0	0	0	0	0	0	14	0	0	18	0	0	0	53	32	0	7	0	0	0	0	0	91	0	0	0	1	4	0	3	0	1	50	0	1	0	0	0	2	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	17	0	5	1	0	47	28	0	0	0	0	1	0	0	0	1	1	0	0	32	0	0	0	2	0	1	34	0	0	1	0	1	2	17	0	0	17	0	0	0	0	0	8	57	1	1	0	0	1	0	1	0	0	0	0
OTU_10	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Veillonella;s__uncultured_organism	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	5	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	10	1	0	1	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
