SAMPID	BRK	BRKSET	SEQRUN	PLATE	RAW	XYLAN(Y/N)	SEAWEED(Y/N)	FERMENTED	SUBSTRATE	ANIMAL	DONOR	CONANDO	UNIQUES	PAIRTAG									
57	BRK1	1	1	1	Xylan	y	n	Unfermented	XYL2	Human	B	HumanB	X	DUP1									
110	BRK2	1	1	1	Xylan + Soybean + Seaweed	y	y	Fermented	XYL2 EP2299	Human	A	HumanA	XYL2 EP2299 HumanA	DUP2									
105	BRK3	1	1	1	Xylan + Soybean	y	n	Fermented	XYL2 EP200	Human	B	HumanB	XYL2 EP200 HumanB	DUP3									
75	BRK4	1	1	1	Xylan + Rapeseed + Seaweed	y	y	Fermented	XYL1 EP1199	Human	B	HumanB	XYL1 EP1199 HumanB	DUP4									
85	BRK5	1	1	1	Xylan + Soybean + Seaweed	y	y	Fermented	XYL1 EP2299	Human	A	HumanA	XYL1 EP2299 HumanA	DUP5									
67	BRK6	1	1	1	Xylan + Rapeseed	y	n	Fermented	XYL1 EP100	Human	A	HumanA	XYL1 EP100 HumanA	DUP6									
80	BRK7	1	1	1	Xylan + Soybean	y	n	Fermented	XYL1 EP200	Human	A	HumanA	XYL1 EP200 HumanA	DUP7									
77	BRK8	1	1	1	Xylan + Rapeseed + Seaweed	y	y	Fermented	XYL1 EP1199	Human	C	HumanC	XYL1 EP1199 HumanC	DUP8									
129	BRK9	1	1	1	Xylan + Soybean	y	n	Fermented	XYLC EP200	Human	B	HumanB	XYLC EP200 HumanB	DUP9									
64	BRK10	1	1	1	Xylan	y	n	Unfermented	XYLC	Human	B	HumanB	XYLC HumanB	DUP10									
120	BRK11	1	1	1	Xylan + Rapeseed	y	n	Fermented	XYC EP100	Human	C	HumanC	XYC EP100 HumanC	DUP11									
62	BRK12	1	1	1	Xylan	y	n	Unfermented	XYLC	Human	A	HumanA	XYLC HumanA	DUP12									
