#OTU ID	BRK01	BRK02	BRK03	BRK04	BRK05	BRK06	BRK07	BRK08	BRK09	BRK10	BRK11	BRK12	BRK13	BRK14	BRK15	BRK16	BRK17	BRK18	BRK19	BRK20	BRK21	BRK22	BRK23	BRK24	BRK25	BRK26	BRK27	BRK28	BRK29	BRK30	BRK31	BRK32	BRK34	BRK35	BRK36	BRK37	BRK38	BRK39	BRK40	BRK41	BRK42	BRK43	BRK44	BRK45	BRK46	BRK48	BRK49	BRK50	BRK51	BRK52	BRK53	BRK54	BRK55	BRK56	BRK57	BRK58	BRK59	BRK60	BRK61	BRK62	BRK63	BRK64	BRK65	BRK66	BRK67	BRK68	BRK69	BRK70	BRK74	BRK76	BRK80	BRK81	BRK82	BRK83	BRK84	BRK85	BRK86	BRK87	BRK88	BRK90	BRK91	BRK92	BRK93	BRK94	BRK95	BRK96
OTU_1	12	0	1	0	2	0	2	26	0	4	1	7	0	3	0	1	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2	4	0	1	6	7	19	19	1	0	4	3	31	2	7	7	17	45	38	16	14	9	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
OTU_3	0	1	0	2	0	0	0	0	2	2	18	0	0	0	0	0	0	1	1	0	0	0	0	1	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_4	2	0	0	0	4	12	21	4	2	9	3	6	0	5	3	21	33	57	3	2	0	0	0	5	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1
OTU_5	5	0	0	0	5	2	0	3	0	0	0	3	2	1	3	0	1	4	1	5	8	0	0	0	0	1	1	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_6	0	0	0	0	7	0	10	0	0	1	1	11	0	0	2	8	25	54	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_7	2	0	0	0	3	6	20	1	1	1	0	10	0	0	7	13	20	19	5	2	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
OTU_8	519	12	19	8	827	1	237	334	145	567	254	498	1	51	2	122	38	113	2	0	158	0	0	1	61	0	2	316	0	0	0	0	0	1	0	0	1	0	206	0	56	0	0	1	5	3	0	1	1	2	1	0	0	0	0	0	3	1	0	0	0	1	2	0	0	1	3	0	1	0	1	1	0	0	0	2	1	0	0	0	2	1	0	0	0	2
OTU_9	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	152	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10	5	35	0	73	4	13	20	1	5	16	9	1	1	32	28	5	23	15	121	97	6	0	0	1	8	0	0	1	0	0	0	1	0	0	0	0	1	0	10	0	0	0	0	0	7	0	3	0	1	1	0	0	0	0	1	1	1	0	1	0	2	1	2	0	0	5	3	0	0	2	2	4	8	0	3	1	4	0	1	3	0	0	2	0	0	0
